DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
notification_forecast_update,Forecast update!,Forecast update!,Aktualisierte Vorhersage!,Aktualizacja prognozy!,Atualização de previsão!,¡Actualización del pronóstico!,¡Actualización del pronóstico!,Pembaruan prakiraan!,Prognosuppdatering!,Обновление прогноза!,Mise à jour des prévisions !,
notification_rain_starts_in,🌧 Rain starts at %@.,🌧 Rain starts at %@.,🌧 Regen beginnt in %@.,🌧 Deszcz zacznie padać o %@.,🌧 A chuva começa em %@.,🌧 La lluvia iniciará en %@.,🌧 Comienza a llover en %@.,🌧 Hujan dimulai pada %@.,🌧 Det börjar regna %@.,🌧 Дождь начнется в %@.,🌧 La pluie commence à %@.,
notification_rain_ends_in,🌈 Rain ends at %@.,🌈 Rain ends at %@.,🌈 Regen endet in %@.,🌈 Deszcz przestanie padać o %@.,🌈 A chuva termina em %@.,🌈 La lluvia terminará en %@.,🌈 Termina de llover en %@.,🌈 Hujan berakhir pada %@.,🌈 Det slutar regna %@.,🌈 Дождь закончится в %@.,🌈 La pluie cessera à %@.,
settings_notification,Notifications,Notifications,Benachrichtigungen,Powiadomienia,Notificações,Notificaciones,Notificaciones,Notifikasi,Meddelanden,Уведомления,Avis,
alert_subscription_restore_success,The premium plan has been restored successfully!,The premium plan has been restored successfully!,Der Premium-Plan wurde erfolgreich wiederhergestellt!,Plan premium został pomyślnie przywrócony!,O plano premium foi restaurado com sucesso!,¡El plan Premium ha sido restaurado con éxito!,¡El plan premium se ha restaurado con éxito!,Paket premium berhasil dipulihkan!,Premiumplanen har återställts!,Премиум-план успешно восстановлен!,Le forfait premium a été restauré avec succès !,
alert_subscription_restore_no_subscription,It looks like you don’t have an active premium plan for the app.,It looks like you don’t have an active premium plan for the app.,Anscheinend haben Sie keinen aktiven Premium-Plan für die App.,"Wygląda na to, że nie plan premium nie jest aktywny dla tej aplikacji.",Parece que você não tem um plano premium ativo para o aplicativo.,Parece que no tiene un plan premium activo para la aplicación.,Parece que no tienes un plan premium activo para la aplicación.,Tampaknya Anda tidak punya paket premium aktif untuk aplikasi ini.,Det verkar som om du inte har en aktiv premiumplan för appen.,"Похоже, у вас не активирован премиум-план.",Il semble que vous n'avez pas activé de forfait premium pour l'application.,
alert_subscription_restore_fail,Oops! Something went wrong. Try again later.,Oops! Something went wrong. Try again later.,Hoppla! Etwas ist schiefgegangen. Versuchen Sie es später erneut.,Ojej! Coś poszło nie tak. Spróbuj ponownie później.,Ops! Algo deu errado. Tente novamente mais tarde.,¡Uy! Algo ha fallado. Inténtelo de nuevo más tarde.,¡Ups! Algo ha salido mal. Vuelve a intentarlo más tarde.,Ups! Terjadi masalah. Coba lagi nanti.,Hoppsan! Något gick fel. Försök igen senare.,Упс! Что-то пошло не так. Повторите попытку позже.,Oups ! Une erreur s'est produite. Réessayez plus tard.,
alert_try_again,Try again,Try again,Erneut versuchen,Spróbuj ponownie,Tente novamente,Inténtelo de nuevo,Reintentar,Coba lagi,Försök igen,Повторить попытку,Réessayer,
settings_help_support_section_title,Help & Support,Help & Support,Hilfe und Support,Pomoc i obsługa techniczna,Ajuda e suporte,Asistencia y apoyo,Centro de ayuda,Bantuan & Dukungan,Hjälp och support,Справка и поддержка,Aide et assistance,
notification_snow_starts_at,🌨️ Expect snowfall to start at %@.,🌨️ Expect snowfall to start at %@.,🌨️ Schnee erwartet um %@.,🌨️ Śnieg zacznie padać o %@.,🌨️ Espere a neve começar às %@.,🌨️ Espere que la nieve comience a %@.,🌨️ Se espera que nieve a las %@.,🌨️ Turun salju akan dimulai pada %@.,🌨️ Förväntar dig att snöfall börjar %@.,🌨️ В %@ ожидается снегопад.,🌨️ Les chutes de neige devraient commencer à %@.,
notification_open_for_details,Open for details.,Open for details.,Öffnen für Details.,Zobacz szczegóły.,Abra para detalhes.,Abrir para ver los detalles.,Abrir para obtener más información.,Buka untuk info detail.,Öppna för mer information.,Подробности.,Ouvrir pour plus de détails.,
notification_snow_ends_at,☁️ Almost there! Snowfall is expected to end at %@.,☁️ Almost there! Snowfall is expected to end at %@.,☁️ Fast geschafft! Schneefallende erwartet um %@.,☁️ Prawie koniec! Śnieg przestanie padać o %@.,☁️ Quase lá! Espera-se que a neve termine às %@.,☁️ ¡Casi! Se prevé que la nieve termine a las %@.,☁️ ¡Casi listo! Se espera que deje de nevar a las %@.,☁️ Hampir selesai! Turun salju akan berakhir pada %@.,☁️ Nästan där! Snöfallet förväntas sluta %@.,☁️ Осталось совсем немного!/Еще чуть-чуть! Снегопад закончится в %@.,☁️ Vous y êtes presque ! Les chutes de neige devraient cesser à %@.,
notification_snow_starts_ends_at,❄️ A brief snow shower is expected from %@ to %@.  ,❄️ A brief snow shower is expected from %@ to %@.  ,❄️ Kurzer Schneefall erwartet von %@ bis %@.  ,❄️ Krótkotrwałe opady śniegu potrwają od %@ do %@.  ,❄️ Espera-se uma queda de neve de curta duração de %@ às %@.  ,❄️ Se prevé una nevada de corta duración desde el %@ hasta el %@.  ,❄️ Se espera una nevada de corta duración desde las %@ hasta las %@.  ,❄️ Hujan salju singkat akan turun dari %@ sampai %@.,❄️ Ett kort snöfall förväntas från %@ till %@.,❄️ С %@ до %@ ожидается кратковременный снегопад.,❄️ Une averse de neige brève est attendue de %@ à %@.,
notification_snow_update_starts_at,Snow starts at %@.,Snow starts at %@.,Schneefall beginnt um %@.,Początek śniegu o %@.,A neve começa às %@.,La nieve comienza en el %@.,Se prevé que nieve a las %@.,Salju dimulai pada %@.,Det börjar snöa %@.,Снег начнется в %@.,Il commencera à neiger à %@.,
notification_snow_update_ends_at,Snow ends at %@.,Snow ends at %@.,Schneefall endet um %@.,Koniec śniegu o %@.,A neve termina às %@.,La nieve termina en el %@.,Se prevé que deje de nevar a las %@.,Salju berakhir pada %@.,Det slutar snöa %@.,Снег закончится в %@.,La neige cessera à %@.,
app_snow_starts,Snow starts,Snow starts,Schneefall beginnt,Początek śniegu,A neve começa,Comienza la nieve,Se prevé que nieve,Salju dimulai,Det börjar snöa,Снег начнется,Il commence à neiger,
app_snow_ends,Snow ends,Snow ends,Schneefall endet,Koniec śniegu,A neve termina,La nieve termina,Se prevé que deje de nevar,Salju berakhir,Det slutar snöa,Снег закончится,La neige a cessé,
app_no_snow_for,No snow,No snow,Kein Schnee,Brak śniegu,Sem neve,No hay nieve,No nieva,Tak ada salju,Ingen snö,Нет снега,Pas de neige,
app_snowing_right_now_top,It's snowing,It's snowing,Es schneit,Pada śnieg,Está nevando,Está nevando,Está nevando,Sedang turun salju,Det snöar,Идет снег,Il neige,
app_snowing_right_now_bottom,right now,right now,genau jetzt,teraz,agora mesmo,ahora mismo,en este momento,sekarang,just nu,сейчас,tout de suite,
whats_new_title,What's New,What's New,Was gibt's Neues?,Co nowego,O que há de novo,Novedades,Qué hay de nuevo,Yang Baru,Vad är nytt,Что нового/Новые возможности,Quoi de neuf,
whats_new_description,Rainbow.ai improves the app experience with every update. Take a look at the new changes.,Rainbow.ai improves the app experience with every update. Take a look at the new changes.,Mit jedem Update verbessert Rainbow.ai das App-Erlebnis. Schauen Sie die Neuheiten an.,Korzystanie z Rainbow.ai staje się bardziej komfortowe z każdą aktualizacją. Sprawdź nowości.,O Rainbow.ai melhora a experiência do aplicativo a cada atualização. Dê uma olhada nas novas mudanças.,Rainbow.ai mejora la experiencia de la aplicación con cada actualización. Eche un vistazo a los nuevos cambios.,Rainbow.ai mejora la experiencia de la aplicación con cada actualización. Echa un vistazo a los nuevos cambios.,,,,,
whats_new_snow_layer,Snow Layer,Snow Layer,Schneedecke,Warstwa śniegu,Camada de neve,Capa de nieve,Capa de nieve,,,,,
whats_new_snow_layer_description,"Stay ahead of the snow! Check for snow precipitation in your area, see its coverage on the map, and receive timely push messages.","Stay ahead of the snow! Check for snow precipitation in your area, see its coverage on the map, and receive timely push messages.","Die Radarkarte hat eine neue, coole Funktion! Sie wurde um eine Schneefunktion erweitert, mit der die Bewegungen und Position des Schnees auf der ganzen Welt ermittelt werden können.",Mapa radarowa ma świetną nową funkcję! Pozwala teraz śledzić występowanie i przemieszczanie się stref opadów śniegu na całym świecie.,O mapa de radar tem um novo recurso legal! Ele foi atualizado com suporte de neve para monitorar seu movimento e posição ao redor do mundo.,¡El mapa del radar tiene una nueva función! Se ha actualizado con soporte de nieve para seguir su movimiento y posición alrededor del mundo.,El mapa del radar tiene una nueva función muy interesante. Se ha actualizado con información sobre la nieve para seguir su progreso y ubicación en todo el mundo.,,,,,
whats_new_continue,Continue,Continue,Weiter,Kontynuuj,Continuar,Continuar,Continuar,Lanjut,Fortsätt,Продолжить,Continuer,
,Precipitation,Precipitation,Niederschlag,Opady,Precipitação,Precipitación,Precipitación,Presipitasi,Nederbörd,Осадки,Précipitation,
radar_its_snow,It's snowing,It's snowing,Es schneit,Pada śnieg,Está nevando,Está nevando,Está nevando,Salju turun,Det snöar,Идет снег,Il neige,
radar_no_snow,No snow,No snow,Kein Schnee,Brak śniegu,Sem neve,No hay nieve,No nieva,Tak ada salju,Ingen snö,Нет снега,Pas de neige,
app_snow,Snow,Snow,Schnee,Śnieg,Neve,Nieve,Nieve,Salju,Snö,Снег,Neige,
app_id_copy,Application Identifier was copied to clipboard,Application Identifier was copied to clipboard,App-Identifikator wurde in die Zwischenablage kopiert,Skopiowano identyfikator aplikacji do schowka,O identificador do aplicativo foi copiado para a área de transferência,El identificador de la aplicación se ha copiado en el portapapeles,El identificador de la aplicación se copió al portapapeles,Pengidentifikasi Aplikasi tersalin ke clipboard,Applikationens identifierare har kopierats till urklipp,Идентификатор приложения скопирован,L'identifiant d'application a été copié dans le presse-papiers,
app_id,Application Identifier,Application Identifier,App-Identifikator,Identyfikator aplikacji,Identificador do aplicativo,Identificador de la aplicación,Identificador de aplicación,Pengidentifikasi Aplikasi,Applikationens identifierare,Идентификатор приложения,Identifiant d'application,
app_no_precipitation_for,No precipitation,No precipitation,Kein Niederschlag,Brak opadów,Sem precipitação,Sin precipitaciones,Sin precipitaciones,Tak ada presipitasi,Ingen nederbörd,Нет осадков,Pas de précipitation,
error_no_connection_and_update,Connection error occurred. Try again later or update the app.,Connection error occurred. Try again later or update the app.,Verbindungsfehler aufgetreten. Versuchen Sie es später erneut oder aktualisieren Sie die App.,Wystąpił błąd połączenia. Spróbuj ponownie później lub zaktualizuj aplikację.,Ocorreu um erro de conexão. Tente novamente mais tarde ou atualize o aplicativo.,Se ha producido un error de conexión. Vuelve a intentarlo más tarde o actualiza la aplicación.,Ha habido un error de conexión. Vuelve a intentarlo más tarde o actualiza la aplicación.,Terjadi eror sambungan. Coba lagi nanti atau perbarui aplikasi.,Ett anslutningsfel inträffade. Försök igen senare eller uppdatera appen.,Произошла ошибка подключения. Повторите попытку позже или обновите приложение.,Une erreur de connexion s'est produite. Réessayez plus tard ou mettez à jour l'application.,
app_force_update_title,Update the app,Update the app,App aktualisieren,Uaktualnij aplikację,Atualize o aplicativo,Actualizar la aplicación,Actualiza la aplicación,"Perbarui aplikas
",Uppdatera appen,Обновить приложение,Mettre à jour l'application,
app_force_update_body,The new app version is available. Tap to update.,The new app version is available. Tap to update.,Die neue App-Version ist verfügbar. Tippen Sie zum Aktualisieren.,"Dostępna jest nowa wersja aplikacji. Stuknij, aby uaktualnić.",A nova versão do aplicativo está disponível. Toque para atualizar.,Ya está disponible la nueva versión de la aplicación. Haga clic para actualizarla.,La nueva versión de la aplicación está disponible. Toca para actualizar.,Versi aplikasi baru tersedia. Ketuk untuk perbarui.,En ny version av appen är tillgänglig. Tryck för att uppdatera.,"Доступна новая версия приложения. Нажмите, чтобы обновить.",Une nouvelle version de l'application est disponible. Appuyez pour mettre à jour.,
app_force_update_close,Close,Close,Schließen,Zamknij,Fechar,Cerrar,Cerrar,Tutup,Stäng,Закрыть,Fermer,
app_force_update_update,Update,Update,Updaten,Uaktualnij,Atualizar,Actualizar,Actualizar,Perbarui,Uppdatera,Обновить,Mettre à jour,
,,,,,,,,,,,,
app_snow_starts_very_soon,Snow starts very soon,Snow ends very soon,Schneefall endet sehr bald,Koniec śniegu bardzo niedługo,A neve termina muito em breve,La nieve termina muy pronto,Se prevé que deje de nevar muy pronto,Salju dimulai sebentar lagi,Det börjar snöa mycket snart,Очень скоро начнется снег,Il commencera à neiger très bientôt,
app_snow_ends_very_soon,Snow ends very soon,Snow ends very soon,Schneefall endet sehr bald,Koniec śniegu bardzo niedługo,A neve termina muito em breve,La nieve termina muy pronto,Se prevé que deje de nevar muy pronto,Salju berakhir sebentar lagi,Det slutar snöa mycket snart,Очень скоро закончится снег,La neige cessera très bientôt,
,,,,,,,,,,,,
legend_rain,Rain,Rain,Regen,Deszcz,Chuva,Lluvia ,Lluvia,Hujan,Regn,Дождь,Pluie,
legend_light,Light,Light,Leicht,Lekkie,Leve,Leve,Luz,Ringan,Lätt,Слабый,Légère,
legend_heavy,Heavy,Heavy,Stark,Duże,Forte,Fuerte,Copioso,Deras,Kraftigt,Сильный,Forte,
legend_snow,Snow,Snow,Schnee,Śnieg,Neve,Nieve,Nieve,Salju,Snö,Снег,Neige,
app_snow_starts_in_minutes,Snow starts in %@ minutes,Snow starts in %@ minutes,Schneefall beginnt in %@ Min,Początek śniegu za %@ minut(y),A neve começa em %@ minutos,Comienza la nieve en %@ minutos,Se prevé que nieve en %@ minutos,Salju dimulai dalam %@ menit,Det börjar snöa om %@ minuter,Снег начнется через %@ минут(ы),Il commencera à neiger dans %@ minutes,
app_snow_starts_in_minute,Snow starts in %@ minute,Snow starts in %@ minute,Schneefall beginnt in %@ Min,Początek śniegu za %@ minutę,A neve começa em %@ minuto,Comienza la nieve en %@ minuto,Se prevé que nieve en %@ minuto,Salju dimulai dalam %@ menit,Det börjar snöa om %@ minut,,Il commencera à neiger dans %@ minute,
app_snow_ends_in_minutes,Snow ends in %@ minutes,Snow ends in %@ minutes,Schneefall endet in %@ Min,Koniec śniegu za %@ minut(y),A neve termina em %@ minutos,La nieve termina en %@ minutos,Se prevé que deje de nevar en %@ minutos,Salju berakhir dalam %@ menit,Det slutar snöa om %@ minuter,Снег закончится через %@ минут(ы),La neige cessera dans %@ minutes,
app_snow_ends_in_minute,Snow ends in %@ minute,Snow ends in %@ minute,Schneefall endet in %@ Min,Koniec śniegu za %@ minutę,A neve termina em %@ minuto,La nieve termina en %@ minuto,Se prevé que deje de nevar en %@ minuto,Salju berakhir dalam %@ menit,Det slutar snöa om %@ minut,,La neige cessera dans %@ minute,
app_its_snowing_for_hour,It's snowing for the next %@ hour,It's snowing for the next %@ hour,Es schneit die nächste %@ Std.,Pada śnieg najbliższą %@ godzinę,Está nevando na próxima %@ h,Está nevando la próxima %@ h,Está nevando próxima %@ h,Salju turun selama %@ jam ke depan,Det snöar den närmaste %@ timmen,Снег будет идти в течение следующего/следующих %@ часа/часов.,Il neigera pendant la prochaine %@ heure,
app_no_precipitation_for_hour,No precipitation for the next %@ hour,No precipitation for the next %@ hour,Kein Niederschlag die nächste %@ Std.,Brak opadów najbliższą %@ godzinę,Sem precipitação na próxima %@ h,Sin precipitaciones la próxima %@ h,Sin precipitaciones próxima %@ h,Tak ada presipitasi selama %@ jam ke depan,Ingen nederbörd den närmaste %@ timmen,Осадков не будет в течение следующего/следующих %@ часа/часов.,Pas de précipitations pendant la prochaine %@,
notification_snow_starts_title,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai,Rainbow.ai,Rainbow.ai ,Rainbow.ai ,
notification_snow_ends_title,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai,Rainbow.ai,Rainbow.ai ,Rainbow.ai ,
settings_notifications_prompt_title,Stay Informed,Stay Informed,Bleiben Sie auf dem Laufenden,Bądź na bieżąco,Fique informado(a),Mantente informado,Mantente informado,,,,,
settings_notifications_prompt_body,Get notifications when rain or snow is starting or stopping at your location.,Get notifications when rain or snow is starting or stopping at your location.,"Lassen Sie sich benachrichtigen, wenn Regen oder Schnee an Ihrem Standort einsetzt oder aufhört.","Otrzymuj powiadomienia, gdy w Twojej lokalizacji zaczyna lub przestaje padać deszcz czy śnieg.",Receba notificações quando a chuva ou neve começar ou parar na sua localização.,Recibe notificaciones cuando comience o termine de llover o nevar en tu ubicación.,Recibe notificaciones cuando la lluvia o la nieve comiencen o se detengan en tu ubicación.,,,,,
settings_notifications_prompt_button,Enable Notifications,Enable Notifications,Benachrichtigungen aktivieren,Włącz powiadomienia,Ativar notificações,Permitir notificaciones,Permitir notificaciones,Aktifkan Notifikasi,Aktivera aviseringar,Включить уведомления,Activer les notifications,
,,,,,,,,,,,,
whats_new_title_caps,WHAT'S NEW,WHAT'S NEW,WAS GIBT'S NEUES?,CO NOWEGO,O QUE HÁ DE NOVO,NOVEDADES,QUÉ HAY DE NUEVO,YANG BARU,VAD ÄR NYTT,ЧТО НОВОГО/НОВЫЕ ВОЗМОЖНОСТИ,QUOI DE NEUF,
whats_new_feature_title,Improved app design,Improved app design,Verbessertes App-Design,Poprawiony wygląd apki,Aprimoramos o design do aplicativo,Diseño de la aplicación mejorado,Diseño de la aplicación mejorado,,,,,
whats_new_description,We've completely redesigned the app to enhance your user experience.,We've completely redesigned the app to enhance your user experience.,"Wir haben die App vollständig neu designt, um die Nutzererfahrung zu verbessern.","Całkowicie przeprojektowaliśmy apkę, aby zwiększyć komfort użytkowania.",Remodelamos completamente o aplicativo para melhorar sua experiência de usuário.,Rediseñamos por completo la aplicación para mejorar la experiencia de usuario.,Hemos rediseñado completamente la aplicación para mejorar la experiencia de usuario.,,,,,
,at %@,at %@,um %@,o %@,às %@,a las %@,a las %@,pada %@,%@,в %@,à %@,
,Rain starts soon,Rain starts soon,Regen setzt bald ein,Wkrótce będzie padać,A chuva começa em breve,Pronto empezará a llover,La lluvia comienza pronto,Hujan segera dimulai,Det börjar regna snart,Скоро начнется дождь,Il va bientôt pleuvoir,
,Snow starts soon,Snow starts soon,Schnee setzt bald ein,Niedługo zacznie padać śnieg,A neve começa em breve,Pronto empezará a nevar,La nieve comienza pronto,Salju segera dimulai,Det börjar snöa snart,Скоро начнется снег,Il va bientôt neiger,
,Light rain,Light rain,Leichter Regen,Lekki deszcz,Chuva leve,Lluvia leve,Lluvia ligera,Hujan ringan,Lätt regn,Слабый дождь,Pluie légère,
,Light snow,Light snow,Leichter Schnee,Lekkie opady śniegu,Neve leve,Nieve leve,Light snow,Salju ringan,Lätt snö,Слабый снег,Neige légère,
enable,Enable,Enable,Aktivieren,Włącz,Ativar,Activar,Habilitar,Aktifkan,Aktivera,,Activer,
feed_no_precipitation,No precipitation,No precipitation,Kein Niederschlag,Bez opadów,Sem precipitação,Sin precipitación,Sin precipitaciones,Tak ada presipitasi,Ingen nederbörd,Нет осадков,Pas de précipitation,
more_than_hour,for more than an hour,for more than an hour,für mehr als eine Stunde,przez więcej niż godzinę,por mais de uma hora,por más de una hora,por más de una hora,selama lebih dari sejam,i mer än en timme,больше часа,pendant plus d'une heure,
snow_starts,Snow starts,Snow starts,Schneefall beginnt,Początek śniegu,A neve começa,Comienza la nieve,Se prevé que nieve,Salju dimulai,Det börjar snöa,Снег начнется,Il commence à neiger,
rain_starts,Rain starts,Rain starts,Regen beginnt,Zaczyna padać,A chuva começa,La lluvia iniciará,Comienza a llover,Hujan dimulai,Det börjar regna,Дождь начнется,Il commence à pleuvoir,
snow_starts_soon,Snow starts soon,Snow starts soon,Schnee setzt bald ein,Niedługo zacznie padać śnieg,A neve começa em breve,Pronto empezará a nevar,La nieve comienza pronto,Salju segera dimulai,Det börjar snöa snart,Скоро начнется снег,Il va bientôt neiger,
rain_starts_soon,Rain starts soon,Rain starts soon,Regen setzt bald ein,Wkrótce będzie padać,A chuva começa em breve,Pronto empezará a llover,La lluvia comienza pronto,Hujan segera dimulai,Det börjar regna snart,Скоро начнется дождь,Il va bientôt pleuvoir,
light_snow,Light snow,Light snow,Leichter Schneefall,Lekkie opady śniegu,Neve leve,Nevada ligera,Nevada ligera,Salju ringan,Lätt snö,Слабый снег,Neige légère,
moderate_snow,Moderate snow,Moderate snow,Mäßiger Schneefall,Umiarkowane opady śniegu,Neve moderada,Nevada moderada,Nevada moderada,Salju sedang,Måttlig snö,Снег,Neige modérée,
heavy_snow,Heavy snow,Heavy snow,Starker Schneefall,Intensywne opady śniegu,Neve pesada,Nevada fuerte,Nevada fuerte,Salju lebat,Kraftig snö,Сильный снег,Neige forte,
light_rain,Light rain,Light rain,Leichter Regen,Lekkie opady deszczu,Chuva leve,Lluvia ligera,Lluvia ligera,Hujan ringan,Lätt regn,Слабый дождь,Pluie légère,
moderate_rain,Moderate rain,Moderate rain,Mäßiger Regen,Umiarkowane opady deszczu,Chuva moderada,Lluvia moderada,Lluvia moderada,Hujan sedang,Måttligt regn,Дождь,Pluie modérée,
heavy_rain,Heavy rain,Heavy rain,Starker Regen,Intensywne opady deszczu,Chuva pesada,Lluvia fuerte,Lluvia fuerte,Hujan deras,Kraftigt regn,Сильный дождь,Pluie forte,
extremely_heavy_rain,Extremely heavy rain,Extremely heavy rain,Extrem starker Regen,Ulewne opady deszczu,Chuva pesadíssima,Lluvia extremadamente fuerte,Lluvia extremadamente fuerte,Hujan amat deras,Extremt kraftigt regn,Очень сильный дождь,Pluie très forte,
from,from,from,ab,od,de,de las,desde las,dari,från,с,de,
from_to,from %@ to %@,from %@ to %@,von %@ bis %@,od %@ do %@,de %@ para %@,de %@ a %@,desde las %@ hasta las %@,dari %@ sampai %@,från %@ till %@,с %@ до %@,de %@ à %@,
until,until %@,until %@,bis %@,do %@,até %@,hasta las %@,hasta las %@,sampai %@,till %@,до %@,jusqu'à %@,
at,at %@,at %@,um %@,o %@,às %@,a las %@,a las %@,pada %@,%@,в %@,à %@,
rain,Rain,Rain,Regen,Deszcz,Chuva,Lluvia ,Lluvia,Hujan,Regn,Дождь,Pluie,
snow,Snow,Snow,Schnee,Śnieg,Neve,Nieve,Nieve,Salju,Snö,Снег,Neige,
no_precipitation_short,No precip.,No precip.,Kein Niederschlag,Brak opadów,Sem precip.,Sin precip.,Sin precip.,Tak ada presip.,Ingen nederbörd,Нет осадков,Pas de précip.,
no_data,No Data,No Data,Keine Daten,Brak danych,Sem Dados,Sin datos,Sin datos,Tak ada Data,Inga data,Нет данных,Pas de données,
no_data_connection_message,Weather data could not be loaded. Try again later.,Weather data could not be loaded. Try again later.,Wetterdaten konnten nicht geladen werden. Versuchen Sie es später erneut.,Nie można wczytać danych pogodowych. Spróbuj ponownie później.,Os dados meteorológicos não puderam ser carregados. Tente mais tarde.,No es posible cargar la información del clima. Intente de nuevo más tarde.,No se han podido cargar los datos meteorológicos. Inténtalo de nuevo más tarde.,Data cuaca tak dapat dimuat. Coba lagi nanti.,Väderdata kunde inte laddas. Försök igen senare.,Не удалось загрузить данные о погоде. Попробуйте позже.,Les données météorologiques n'ont pas pu être chargées. Réessayez plus tard.,
no_data_connection,No Connection,No Connection,Keine Verbindung,Brak połączenia,Sem conexão,Sin conexión,Sin conexión,Tak Ada Sambungan,Ingen anslutning,Нет подключения,Pas de connexion,
allow_notifications,Allow Notifications,Allow Notifications,Mitteilungen erlauben,Zezwól na Powiadomienia,Permitir Notificações,Permitir Notificaciones,Permitir las Notificaciones,Izinkan Notifikasi,Tillåt aviseringar,Разрешить уведомления,Autoriser les notifications,
report_weather_different_weather,Different weather outside?,Different weather outside?,Anderes Wetter draußen?,Inna pogoda na zewnątrz?,Tempo diferente lá fora?,¿El tiempo es diferente fuera?,¿Hace otro tiempo fuera?,Cuaca di luar berbeda?,Annat väder ute?,На улице другая погода?,Météo différente à l'extérieur ?,
report_weather_popover_description,The report has been received. You're helping us make the forecast better.,The report has been received. You're helping us make the forecast better.,"Wir haben deinen Bericht erhalten. Du hilfst uns, die Vorhersage zu verbessern.",Otrzymaliśmy raport. Pomagasz nam ulepszyć prognozę.,O relatório foi recebido. Você está nos ajudando a melhorar a previsão.,Hemos recibido el informe. Nos está ayudando a mejorar el pronóstico.,Hemos recibido el informe. Nos estás ayudando a mejorar el pronóstico.,Laporan telah diterima. Anda membantu kami menyempurnakan prakiraan.,Rapporten har tagits emot. Du hjälper oss att göra prognosen bättre.,Сообщение получено. Вы помогаете нам улучшать прогноз.,Le rapport a été reçu. Vous nous aidez à améliorer les prévisions.,
settings_appearance_settings_section_title,appearance,appearance,Erscheinungsbild,wygląd,aparência,aspecto,apariencia,tampilan,utseende,,apparence,
settings_theme_setting,Theme,Theme,Thema,Motyw,Tema,Tema,Tema,Tema,Tema,Тема,Thème,
settings_system_theme_setting_option,System,System,System,Systemowy,Sistema,Sistema,Sistema,Sistem,System,Системная,Système,
settings_light_theme_setting_option,Light,Light,Hell,Jasny,Luz,Claro,Luz,Terang,Ljust,Светлая,Légère,
settings_dark_theme_setting_option,Dark,Dark,Dunkel,Ciemny,Escuro,Obscuro,Oscuro,Gelap,Mörkt,Темная,Sombre,
dark_mode_here,Dark Mode is here!,Dark Mode is here!,Der Dark Mode ist hier!,Ciemny motyw już dostępny!,O Modo Escuro está aqui!,¡El modo oscuro ya está aquí!,¡El modo oscuro ya está aquí!,,,,,
,,,,,,,,,,,,
dark_mode_whats_new_subtitle,Say hello to a sleek new app look in dark colors.,Say hello to a sleek new app look in dark colours.,Sagen Sie Hallo zu einem neuen und eleganten App-Auftritt mit dunklen Farbtönen.,"Poznaj nowy, elegancki wygląd aplikacji w ciemnych barwach.",Diga olá a um novo visual elegante de aplicativo em cores escuras.,Saluda al nuevo y elegante aspecto de la aplicación en colores oscuros.,Saluda a la nueva y elegante apariencia de la aplicación en colores oscuros.,,,,,
additional_background_location_prepermission_title,Get precise weather alerts,Get precise weather alerts,Erhalten Sie präzise Wetterwarnungen ,Otrzymuj precyzyjne alerty pogodowe,Receba alertas meteorológicos precisos,Obtén alertas meteorológicas precisas,Recibe alertas meteorológicas precisas,Dapatkan pengingat cuaca presisi,Få exakta vädervarningar,Получайте точные оповещения о погоде,Recevez des alertes météo précises,
additional_background_location_prepermission_description,Your current location has changed. To get relevant weather notifications select “Always” in System Settings.,Your current location has changed. To get relevant weather notifications select “Always” in System Settings.,"Ihr aktueller Standort hat sich geändert. Um relevante Wetterbenachrichtigungen zu erhalten, wählen Sie „Immer“ in den Systemeinstellungen aus. ","Twoja bieżąca lokalizacja zmieniła się. Aby otrzymywać odpowiednie powiadomienia o pogodzie wybierz ""Zawsze"" w Ustawieniach Systemowych.","Sua localização atual mudou. Para receber notificações meteorológicas relevantes, selecione “Sempre” nas Configurações do Sistema.","La ubicación actual ha cambiado. Para recibir notificaciones meteorológicas relevantes seleccionar ""Siempre"" en Ajustes del Sistema. ","Tu ubicación actual ha cambiado. Para recibir notificaciones meteorológicas relevantes, selecciona «Siempre» en los ajustes del sistema. ","Lokasi Anda saat ini telah berubah. Untuk menerima notifikasi cuaca yang relevan, pilih ""Selalu"" pada Pengaturan Sistem.","Din aktuella plats har ändrats. För att få relevanta vädermeddelanden, välj ""Alltid"" i Systeminställningar.","Ваша геопозиция изменилась. Чтобы получать актуальные уведомления о погоде, выберите «Всегда» в настройках.","Votre emplacement actuel a changé. Pour recevoir des notifications météo pertinentes, sélectionnez « Toujours » dans les paramètres système.",
